Entity,Code,Year,production|Antimony|Mine|tonnes
World,OWID_WRL,1923,17600
World,OWID_WRL,1924,17500
World,OWID_WRL,1925,25500
World,OWID_WRL,1926,29000
World,OWID_WRL,1927,28000
World,OWID_WRL,1928,28500
World,OWID_WRL,1929,31600
World,OWID_WRL,1930,23600
World,OWID_WRL,1931,15600
World,OWID_WRL,1932,17300
World,OWID_WRL,1933,20200
World,OWID_WRL,1934,22600
World,OWID_WRL,1935,29800
World,OWID_WRL,1936,35300
World,OWID_WRL,1937,38600
World,OWID_WRL,1938,33900
World,OWID_WRL,1939,38800
World,OWID_WRL,1940,46300
World,OWID_WRL,1941,49000
World,OWID_WRL,1942,51400
World,OWID_WRL,1943,53200
World,OWID_WRL,1944,36000
World,OWID_WRL,1945,27000
World,OWID_WRL,1946,26000
World,OWID_WRL,1947,38000
World,OWID_WRL,1948,45000
World,OWID_WRL,1949,37000
World,OWID_WRL,1950,50000
World,OWID_WRL,1951,65000
World,OWID_WRL,1952,44500
World,OWID_WRL,1953,33600
World,OWID_WRL,1954,39900
World,OWID_WRL,1955,46300
World,OWID_WRL,1956,53500
World,OWID_WRL,1957,50800
World,OWID_WRL,1958,46300
World,OWID_WRL,1959,53300
World,OWID_WRL,1960,53300
World,OWID_WRL,1961,51900
World,OWID_WRL,1962,53700
World,OWID_WRL,1963,58000
World,OWID_WRL,1964,63000
World,OWID_WRL,1965,63000
World,OWID_WRL,1966,61400
World,OWID_WRL,1967,58400
World,OWID_WRL,1968,61500
World,OWID_WRL,1969,66200
World,OWID_WRL,1970,70000
World,OWID_WRL,1971,64100
World,OWID_WRL,1972,68100
World,OWID_WRL,1973,69300
World,OWID_WRL,1974,70500
World,OWID_WRL,1975,67900
World,OWID_WRL,1976,69200
World,OWID_WRL,1977,72200
World,OWID_WRL,1978,68800
World,OWID_WRL,1979,71900
World,OWID_WRL,1980,67200
World,OWID_WRL,1981,59200
World,OWID_WRL,1982,53800
World,OWID_WRL,1983,48400
World,OWID_WRL,1984,53400
World,OWID_WRL,1985,55000
World,OWID_WRL,1986,59900
World,OWID_WRL,1987,56100
World,OWID_WRL,1988,64400
World,OWID_WRL,1989,68400
World,OWID_WRL,1990,60400
World,OWID_WRL,1991,64700
World,OWID_WRL,1992,76000
World,OWID_WRL,1993,73000
World,OWID_WRL,1994,106000
World,OWID_WRL,1995,103000
World,OWID_WRL,1996,156000
World,OWID_WRL,1997,155000
World,OWID_WRL,1998,117000
World,OWID_WRL,1999,108000
World,OWID_WRL,2000,118000
World,OWID_WRL,2001,157000
World,OWID_WRL,2002,118000
World,OWID_WRL,2003,116000
World,OWID_WRL,2004,142000
World,OWID_WRL,2005,172000
World,OWID_WRL,2006,173000
World,OWID_WRL,2007,180000
World,OWID_WRL,2008,185000
World,OWID_WRL,2009,158000
World,OWID_WRL,2010,182000
World,OWID_WRL,2011,187000
World,OWID_WRL,2012,181000
World,OWID_WRL,2013,193000
World,OWID_WRL,2014,175000
World,OWID_WRL,2015,150000
World,OWID_WRL,2016,148000
World,OWID_WRL,2017,144000
World,OWID_WRL,2018,147000
World,OWID_WRL,2019,162000
World,OWID_WRL,2020,111000
World,OWID_WRL,2021,112000
World,OWID_WRL,2022,83100
World,OWID_WRL,2023,83000
