Entity,Code,Year,production|Chromium|Mine|tonnes
Australia,AUS,2003,168200
Australia,AUS,2004,275700
Australia,AUS,2005,225700
Australia,AUS,2006,267800
Australia,AUS,2007,295000
Australia,AUS,2008,142000
Australia,AUS,2009,182000
Australia,AUS,2010,181200
Australia,AUS,2011,323800
Australia,AUS,2012,452300
Australia,AUS,2013,355200
Brazil,BRA,1970,34046
Brazil,BRA,1971,55969
Brazil,BRA,1972,70721
Brazil,BRA,1973,72824
Brazil,BRA,1974,88077
Brazil,BRA,1975,172643
Brazil,BRA,1976,186106
Brazil,BRA,1977,309995
Brazil,BRA,1978,269870
Brazil,BRA,1979,340385
Brazil,BRA,1980,313067
Brazil,BRA,1981,236390
Brazil,BRA,1982,275504
Brazil,BRA,1983,155022
Brazil,BRA,1984,255914
Brazil,BRA,1985,189504
Brazil,BRA,1986,222990
Brazil,BRA,1987,191033
Brazil,BRA,1988,229912
Brazil,BRA,1989,270198
Brazil,BRA,1990,171081
Brazil,BRA,1991,216347
Brazil,BRA,1992,460211
Brazil,BRA,1993,240247
Brazil,BRA,1994,399977
Brazil,BRA,1995,446893
Brazil,BRA,1996,386659
Brazil,BRA,1997,242077
Brazil,BRA,1998,352751
Brazil,BRA,1999,357141
Brazil,BRA,2000,600000
Brazil,BRA,2001,419049
Brazil,BRA,2002,283991
Brazil,BRA,2003,376862
Brazil,BRA,2004,593476
Brazil,BRA,2005,616534
Brazil,BRA,2006,562739
Brazil,BRA,2007,627772
Brazil,BRA,2008,664000
Brazil,BRA,2009,365210
Brazil,BRA,2010,520129
Brazil,BRA,2011,542512
Brazil,BRA,2012,472501
Brazil,BRA,2013,485951
Brazil,BRA,2014,716674
Brazil,BRA,2015,526700
Brazil,BRA,2016,426300
Brazil,BRA,2017,245200
Brazil,BRA,2018,219700
Brazil,BRA,2019,199300
Brazil,BRA,2020,226800
Brazil,BRA,2021,248100
Brazil,BRA,2022,250000
China,CHN,1992,103000
China,CHN,1993,54000
China,CHN,1994,56000
China,CHN,1995,198000
China,CHN,1996,130200
China,CHN,1997,176800
China,CHN,1998,205300
China,CHN,1999,220540
China,CHN,2000,208000
China,CHN,2001,181900
China,CHN,2002,164200
China,CHN,2003,197800
China,CHN,2004,230000
China,CHN,2005,220000
China,CHN,2006,220000
China,CHN,2007,220000
China,CHN,2008,220000
China,CHN,2009,220000
China,CHN,2010,220000
China,CHN,2011,211000
China,CHN,2012,123000
China,CHN,2013,105000
China,CHN,2014,24000
China,CHN,2015,22700
China,CHN,2016,25444
China,CHN,2017,30000
China,CHN,2018,71100
China,CHN,2019,84400
China,CHN,2020,66554
China,CHN,2021,130000
China,CHN,2022,130000
Colombia,COL,2012,17
Colombia,COL,2013,187
Colombia,COL,2014,128
Colombia,COL,2015,30
Colombia,COL,2017,0
Colombia,COL,2018,0
Colombia,COL,2019,60
Colombia,COL,2020,0
Colombia,COL,2021,0
Colombia,COL,2022,0
Cuba,CUB,1970,22836
Cuba,CUB,1971,13885
Cuba,CUB,1972,37104
Cuba,CUB,1973,37164
Cuba,CUB,1974,37734
Cuba,CUB,1975,36088
Cuba,CUB,1976,19115
Cuba,CUB,1977,20354
Cuba,CUB,1978,28776
Cuba,CUB,1979,28200
Cuba,CUB,1980,28457
Cuba,CUB,1981,20528
Cuba,CUB,1982,27300
Cuba,CUB,1983,33600
Cuba,CUB,1984,37900
Cuba,CUB,1985,37700
Cuba,CUB,1986,50000
Cuba,CUB,1987,52400
Cuba,CUB,1988,52200
Cuba,CUB,1989,50600
Cuba,CUB,1990,50000
Cuba,CUB,1991,50000
Cuba,CUB,1992,50000
Cuba,CUB,1993,10354
Cuba,CUB,1994,20000
Cuba,CUB,1995,30693
Cuba,CUB,1996,37300
Cuba,CUB,1997,44100
Cuba,CUB,1998,49044
Cuba,CUB,1999,35750
Cuba,CUB,2000,32400
Cuba,CUB,2001,26000
Cuba,CUB,2002,21150
Cuba,CUB,2003,27600
Cuba,CUB,2004,42487
Cuba,CUB,2005,14792
Cuba,CUB,2006,5047
Cyprus,CYP,1970,33335
Cyprus,CYP,1971,40597
Cyprus,CYP,1972,29644
Cyprus,CYP,1973,29749
Cyprus,CYP,1974,33809
Cyprus,CYP,1975,27623
Cyprus,CYP,1976,9156
Cyprus,CYP,1977,14230
Cyprus,CYP,1978,15339
Cyprus,CYP,1979,15743
Cyprus,CYP,1980,16350
Cyprus,CYP,1981,10381
Cyprus,CYP,1982,2878
Finland,FIN,1970,120509
Finland,FIN,1971,112000
Finland,FIN,1972,97000
Finland,FIN,1973,147510
Finland,FIN,1974,165479
Finland,FIN,1975,164593
Finland,FIN,1976,174869
Finland,FIN,1977,168871
Finland,FIN,1978,178500
Finland,FIN,1979,177300
Finland,FIN,1980,186400
Finland,FIN,1981,202400
Finland,FIN,1982,340250
Finland,FIN,1983,245000
Finland,FIN,1984,335800
Finland,FIN,1985,506200
Finland,FIN,1986,492094
Finland,FIN,1987,503159
Finland,FIN,1988,536309
Finland,FIN,1989,573715
Finland,FIN,1990,461277
Finland,FIN,1991,458000
Finland,FIN,1992,499325
Finland,FIN,1993,516457
Finland,FIN,1994,572747
Finland,FIN,1995,597674
Finland,FIN,1996,573909
Finland,FIN,1997,588856
Finland,FIN,1998,498075
Finland,FIN,1999,597438
Finland,FIN,2000,628414
Finland,FIN,2001,575126
Finland,FIN,2002,566090
Finland,FIN,2003,549000
Finland,FIN,2004,580000
Finland,FIN,2005,572000
Finland,FIN,2006,549000
Finland,FIN,2007,556000
Finland,FIN,2008,614000
Finland,FIN,2009,247000
Finland,FIN,2010,598000
Finland,FIN,2011,692527
Finland,FIN,2012,425217
Finland,FIN,2013,981752
Finland,FIN,2014,1034750
Finland,FIN,2015,946188
Finland,FIN,2016,1070281
Finland,FIN,2017,972028
Finland,FIN,2018,1099438
Finland,FIN,2019,1183862
Finland,FIN,2020,2290000
Finland,FIN,2021,2270000
Finland,FIN,2022,2000000
Finland,FIN,2023,2000000
Greece,GRC,1970,27440
Greece,GRC,1971,14436
Greece,GRC,1972,22130
Greece,GRC,1973,18442
Greece,GRC,1974,9589
Greece,GRC,1975,24528
Greece,GRC,1976,34289
Greece,GRC,1977,33450
Greece,GRC,1978,32878
Greece,GRC,1979,44767
Greece,GRC,1980,33614
Greece,GRC,1981,20856
Greece,GRC,1982,23238
Greece,GRC,1983,20517
Greece,GRC,1984,50364
Greece,GRC,1985,58948
Greece,GRC,1986,60063
Greece,GRC,1987,63825
Greece,GRC,1988,49335
Greece,GRC,1989,47324
Greece,GRC,1990,22400
Greece,GRC,1991,20108
Greece,GRC,1992,0
Greece,GRC,1993,3697
India,IND,1970,273679
India,IND,1971,273135
India,IND,1972,281025
India,IND,1973,290537
India,IND,1974,396535
India,IND,1975,500294
India,IND,1976,402111
India,IND,1977,352535
India,IND,1978,266293
India,IND,1979,309841
India,IND,1980,321318
India,IND,1981,343601
India,IND,1982,356604
India,IND,1983,365366
India,IND,1984,441704
India,IND,1985,567056
India,IND,1986,629671
India,IND,1987,623591
India,IND,1988,820863
India,IND,1989,1002659
India,IND,1990,1050000
India,IND,1991,940000
India,IND,1992,1071075
India,IND,1993,1064684
India,IND,1994,1137886
India,IND,1995,1699534
India,IND,1996,1455849
India,IND,1997,1515286
India,IND,1998,1418119
India,IND,1999,1737985
India,IND,2000,1971806
India,IND,2001,1548900
India,IND,2002,3068631
India,IND,2003,2904809
India,IND,2004,3621394
India,IND,2005,3714284
India,IND,2006,5295551
India,IND,2007,4872847
India,IND,2008,4073479
India,IND,2009,3425580
India,IND,2010,4325699
India,IND,2011,2923435
India,IND,2012,2833895
India,IND,2013,2878320
India,IND,2014,2164163
India,IND,2015,2915584
India,IND,2016,3727780
India,IND,2017,3480941
India,IND,2018,3970691
India,IND,2019,3929260
India,IND,2020,2500000
India,IND,2021,4250000
India,IND,2022,4000000
India,IND,2023,4200000
Indonesia,IDN,1993,0
Indonesia,IDN,1994,0
Indonesia,IDN,1995,10000
Indonesia,IDN,1996,13300
Indonesia,IDN,1997,2156
Indonesia,IDN,1998,4700
Indonesia,IDN,1999,6355
Iran,IRN,1970,220000
Iran,IRN,1971,200000
Iran,IRN,1972,140000
Iran,IRN,1973,140000
Iran,IRN,1974,175000
Iran,IRN,1975,155456
Iran,IRN,1976,160000
Iran,IRN,1977,233000
Iran,IRN,1978,198000
Iran,IRN,1979,136000
Iran,IRN,1980,80000
Iran,IRN,1981,30000
Iran,IRN,1982,40000
Iran,IRN,1983,48000
Iran,IRN,1984,59000
Iran,IRN,1985,56000
Iran,IRN,1986,54000
Iran,IRN,1987,92120
Iran,IRN,1988,60289
Iran,IRN,1989,72628
Iran,IRN,1990,77189
Iran,IRN,1991,90119
Iran,IRN,1992,130265
Iran,IRN,1993,114780
Iran,IRN,1994,354163
Iran,IRN,1995,363610
Iran,IRN,1996,322367
Iran,IRN,1997,324253
Iran,IRN,1998,316597
Iran,IRN,1999,368400
Iran,IRN,2000,145007
Iran,IRN,2001,178120
Iran,IRN,2002,232068
Iran,IRN,2003,150316
Iran,IRN,2004,134872
Iran,IRN,2005,224911
Iran,IRN,2006,236397
Iran,IRN,2007,139114
Iran,IRN,2008,268586
Iran,IRN,2009,274511
Iran,IRN,2010,350000
Iran,IRN,2011,440000
Iran,IRN,2012,411566
Iran,IRN,2013,344169
Iran,IRN,2014,359332
Iran,IRN,2015,276570
Iran,IRN,2016,342332
Iran,IRN,2017,301119
Iran,IRN,2018,259918
Iran,IRN,2019,244656
Iran,IRN,2020,251292
Iran,IRN,2021,250000
Iran,IRN,2022,250000
Japan,JPN,1970,32980
Japan,JPN,1971,31642
Japan,JPN,1972,24819
Japan,JPN,1973,23174
Japan,JPN,1974,28858
Japan,JPN,1975,23149
Japan,JPN,1976,22150
Japan,JPN,1977,18144
Japan,JPN,1978,9000
Japan,JPN,1979,11905
Japan,JPN,1980,13610
Japan,JPN,1981,10959
Japan,JPN,1982,11178
Japan,JPN,1983,8396
Japan,JPN,1984,7420
Japan,JPN,1985,11920
Japan,JPN,1986,10642
Japan,JPN,1987,11815
Japan,JPN,1988,9508
Japan,JPN,1989,11674
Japan,JPN,1990,8075
Japan,JPN,1991,8000
Japan,JPN,1992,8000
Kazakhstan,KAZ,1992,3452400
Kazakhstan,KAZ,1993,2968200
Kazakhstan,KAZ,1994,2020000
Kazakhstan,KAZ,1995,2416600
Kazakhstan,KAZ,1996,1102500
Kazakhstan,KAZ,1997,1795900
Kazakhstan,KAZ,1998,1602700
Kazakhstan,KAZ,1999,2405600
Kazakhstan,KAZ,2000,2606600
Kazakhstan,KAZ,2001,2045700
Kazakhstan,KAZ,2002,2369500
Kazakhstan,KAZ,2003,2927900
Kazakhstan,KAZ,2004,3287100
Kazakhstan,KAZ,2005,3581242
Kazakhstan,KAZ,2006,3366078
Kazakhstan,KAZ,2007,4590000
Kazakhstan,KAZ,2008,4207000
Kazakhstan,KAZ,2009,4678000
Kazakhstan,KAZ,2010,5092000
Kazakhstan,KAZ,2011,5059000
Kazakhstan,KAZ,2012,5233000
Kazakhstan,KAZ,2013,5255000
Kazakhstan,KAZ,2014,5410700
Kazakhstan,KAZ,2015,5382800
Kazakhstan,KAZ,2016,5542900
Kazakhstan,KAZ,2017,6313300
Kazakhstan,KAZ,2018,6888800
Kazakhstan,KAZ,2019,7019000
Kazakhstan,KAZ,2020,7000000
Kazakhstan,KAZ,2021,6500000
Kazakhstan,KAZ,2022,6000000
Kazakhstan,KAZ,2023,6000000
Kosovo,OWID_KOS,2005,0
Kosovo,OWID_KOS,2006,0
Kosovo,OWID_KOS,2008,0
Kosovo,OWID_KOS,2009,0
Kosovo,OWID_KOS,2010,0
Kosovo,OWID_KOS,2011,0
Kosovo,OWID_KOS,2012,2860
Kosovo,OWID_KOS,2013,8950
Kosovo,OWID_KOS,2014,12700
Madagascar,MDG,1970,104684
Madagascar,MDG,1971,150000
Madagascar,MDG,1972,111770
Madagascar,MDG,1973,102500
Madagascar,MDG,1974,155874
Madagascar,MDG,1975,194127
Madagascar,MDG,1976,211426
Madagascar,MDG,1977,164789
Madagascar,MDG,1978,119283
Madagascar,MDG,1979,128347
Madagascar,MDG,1980,146529
Madagascar,MDG,1981,99689
Madagascar,MDG,1982,44223
Madagascar,MDG,1983,42920
Madagascar,MDG,1984,59765
Madagascar,MDG,1985,126697
Madagascar,MDG,1986,89300
Madagascar,MDG,1987,106773
Madagascar,MDG,1988,171484
Madagascar,MDG,1989,165397
Madagascar,MDG,1990,122276
Madagascar,MDG,1991,145583
Madagascar,MDG,1992,160777
Madagascar,MDG,1993,144311
Madagascar,MDG,1994,75000
Madagascar,MDG,1995,105745
Madagascar,MDG,1996,139272
Madagascar,MDG,1997,133960
Madagascar,MDG,1998,166096
Madagascar,MDG,2000,131293
Madagascar,MDG,2001,60923
Madagascar,MDG,2002,10737
Madagascar,MDG,2003,45040
Madagascar,MDG,2004,77386
Madagascar,MDG,2005,93384
Madagascar,MDG,2006,116290
Madagascar,MDG,2007,77700
Madagascar,MDG,2008,112600
Madagascar,MDG,2009,131800
Madagascar,MDG,2010,134500
Madagascar,MDG,2011,66700
Madagascar,MDG,2012,110000
Madagascar,MDG,2013,58100
Madagascar,MDG,2014,53657
Madagascar,MDG,2015,88560
Madagascar,MDG,2016,71043
Madagascar,MDG,2017,64200
Madagascar,MDG,2018,109200
Madagascar,MDG,2019,76100
Madagascar,MDG,2020,12400
Madagascar,MDG,2021,13500
Madagascar,MDG,2022,18300
Myanmar,MMR,1996,3299
Myanmar,MMR,1997,4059
Myanmar,MMR,1998,2447
Myanmar,MMR,1999,3200
Myanmar,MMR,2000,3000
Myanmar,MMR,2001,3000
Myanmar,MMR,2002,3000
Myanmar,MMR,2003,3000
Myanmar,MMR,2004,360
Myanmar,MMR,2005,410
New Caledonia,NCL,1975,1050
New Caledonia,NCL,1976,9051
New Caledonia,NCL,1977,8310
New Caledonia,NCL,1978,8229
New Caledonia,NCL,1979,12407
New Caledonia,NCL,1980,2188
New Caledonia,NCL,1981,0
New Caledonia,NCL,1982,47251
New Caledonia,NCL,1983,86712
New Caledonia,NCL,1984,87794
New Caledonia,NCL,1985,78820
New Caledonia,NCL,1986,72207
New Caledonia,NCL,1987,61832
New Caledonia,NCL,1988,70341
New Caledonia,NCL,1989,60281
New Caledonia,NCL,1990,6223
New Caledonia,NCL,1991,0
New Caledonia,NCL,1992,8169
North Macedonia,MKD,1992,6000
North Macedonia,MKD,1993,5000
North Macedonia,MKD,1994,5000
North Macedonia,MKD,1995,5000
North Macedonia,MKD,1996,5000
North Macedonia,MKD,1997,5000
Oman,OMN,1985,6000
Oman,OMN,1986,4820
Oman,OMN,1987,4000
Oman,OMN,1988,4000
Oman,OMN,1989,12810
Oman,OMN,1992,1764
Oman,OMN,1993,10236
Oman,OMN,1994,6166
Oman,OMN,1995,5298
Oman,OMN,1996,15252
Oman,OMN,1997,17985
Oman,OMN,1998,29756
Oman,OMN,1999,26010
Oman,OMN,2000,15100
Oman,OMN,2001,30100
Oman,OMN,2002,27400
Oman,OMN,2003,13800
Oman,OMN,2004,28700
Oman,OMN,2005,34000
Oman,OMN,2006,276300
Oman,OMN,2007,407822
Oman,OMN,2008,859748
Oman,OMN,2009,636482
Oman,OMN,2010,865400
Oman,OMN,2011,616700
Oman,OMN,2012,554800
Oman,OMN,2013,787700
Oman,OMN,2014,751200
Oman,OMN,2015,442600
Oman,OMN,2016,450800
Oman,OMN,2017,631600
Oman,OMN,2018,884900
Oman,OMN,2019,732600
Oman,OMN,2020,456800
Oman,OMN,2021,488900
Oman,OMN,2022,412000
Pakistan,PAK,1970,26032
Pakistan,PAK,1971,30233
Pakistan,PAK,1972,30683
Pakistan,PAK,1973,20388
Pakistan,PAK,1974,9479
Pakistan,PAK,1975,10544
Pakistan,PAK,1976,10836
Pakistan,PAK,1977,9000
Pakistan,PAK,1978,12000
Pakistan,PAK,1979,2467
Pakistan,PAK,1980,3115
Pakistan,PAK,1981,1427
Pakistan,PAK,1982,4456
Pakistan,PAK,1983,4992
Pakistan,PAK,1984,2745
Pakistan,PAK,1985,5188
Pakistan,PAK,1986,8299
Pakistan,PAK,1987,9963
Pakistan,PAK,1988,4924
Pakistan,PAK,1989,27105
Pakistan,PAK,1990,18191
Pakistan,PAK,1991,31474
Pakistan,PAK,1992,22852
Pakistan,PAK,1993,44384
Pakistan,PAK,1994,12410
Pakistan,PAK,1995,9560
Pakistan,PAK,1996,26961
Pakistan,PAK,1997,23763
Pakistan,PAK,1998,8885
Pakistan,PAK,1999,16279
Pakistan,PAK,2000,24473
Pakistan,PAK,2001,21535
Pakistan,PAK,2002,16679
Pakistan,PAK,2003,30657
Pakistan,PAK,2004,29230
Pakistan,PAK,2005,56359
Pakistan,PAK,2006,64572
Pakistan,PAK,2007,300000
Pakistan,PAK,2008,390000
Pakistan,PAK,2009,300000
Pakistan,PAK,2010,540000
Pakistan,PAK,2011,450000
Pakistan,PAK,2012,500000
Pakistan,PAK,2013,490000
Pakistan,PAK,2014,350000
Pakistan,PAK,2015,330000
Pakistan,PAK,2016,230000
Pakistan,PAK,2017,350000
Pakistan,PAK,2018,324700
Pakistan,PAK,2019,467400
Pakistan,PAK,2020,404800
Pakistan,PAK,2021,467100
Pakistan,PAK,2022,650000
Papua New Guinea,PNG,2013,0
Papua New Guinea,PNG,2014,0
Papua New Guinea,PNG,2015,0
Papua New Guinea,PNG,2016,0
Papua New Guinea,PNG,2017,90121
Papua New Guinea,PNG,2018,90000
Papua New Guinea,PNG,2019,115573
Papua New Guinea,PNG,2020,114569
Papua New Guinea,PNG,2021,119625
Papua New Guinea,PNG,2022,120000
Philippines,PHL,1970,566443
Philippines,PHL,1971,429584
Philippines,PHL,1972,349600
Philippines,PHL,1973,580268
Philippines,PHL,1974,529547
Philippines,PHL,1975,520038
Philippines,PHL,1976,431063
Philippines,PHL,1977,538549
Philippines,PHL,1978,539898
Philippines,PHL,1979,556110
Philippines,PHL,1980,496060
Philippines,PHL,1981,439256
Philippines,PHL,1982,321866
Philippines,PHL,1983,266909
Philippines,PHL,1984,260889
Philippines,PHL,1985,272031
Philippines,PHL,1986,202214
Philippines,PHL,1987,188647
Philippines,PHL,1988,170898
Philippines,PHL,1989,247705
Philippines,PHL,1990,263382
Philippines,PHL,1991,210397
Philippines,PHL,1992,113297
Philippines,PHL,1993,61464
Philippines,PHL,1994,76015
Philippines,PHL,1995,102684
Philippines,PHL,1996,118622
Philippines,PHL,1997,98115
Philippines,PHL,1998,42228
Philippines,PHL,1999,17530
Philippines,PHL,2000,20920
Philippines,PHL,2001,27926
Philippines,PHL,2002,22000
Philippines,PHL,2003,33778
Philippines,PHL,2004,42139
Philippines,PHL,2005,36070
Philippines,PHL,2006,46728
Philippines,PHL,2007,31593
Philippines,PHL,2008,15268
Philippines,PHL,2009,14322
Philippines,PHL,2010,14807
Philippines,PHL,2011,25483
Philippines,PHL,2012,36628
Philippines,PHL,2013,26164
Philippines,PHL,2014,47056
Philippines,PHL,2015,15502
Philippines,PHL,2016,25745
Philippines,PHL,2017,20849
Philippines,PHL,2018,50650
Philippines,PHL,2019,36423
Philippines,PHL,2020,35112
Philippines,PHL,2021,30721
Philippines,PHL,2022,147492
Russia,RUS,1992,121400
Russia,RUS,1993,120800
Russia,RUS,1994,143000
Russia,RUS,1995,165000
Russia,RUS,1996,112000
Russia,RUS,1997,77900
Russia,RUS,1998,69500
Russia,RUS,1999,48047
Russia,RUS,2000,79000
Russia,RUS,2001,117700
Russia,RUS,2002,71000
Russia,RUS,2003,169200
Russia,RUS,2004,447300
Russia,RUS,2005,772000
Russia,RUS,2006,966095
Russia,RUS,2007,582200
Russia,RUS,2008,747000
Russia,RUS,2009,347000
Russia,RUS,2010,699000
Russia,RUS,2011,662000
Russia,RUS,2012,552000
Russia,RUS,2013,360000
Russia,RUS,2014,380000
Russia,RUS,2015,503000
Russia,RUS,2016,485000
Russia,RUS,2017,434000
Russia,RUS,2018,469000
Russia,RUS,2019,698000
Russia,RUS,2020,689000
Russia,RUS,2021,689000
Russia,RUS,2022,689000
South Africa,ZAF,1970,1427259
South Africa,ZAF,1971,1644196
South Africa,ZAF,1972,1483159
South Africa,ZAF,1973,1649630
South Africa,ZAF,1974,1876913
South Africa,ZAF,1975,2075378
South Africa,ZAF,1976,2409235
South Africa,ZAF,1977,3058863
South Africa,ZAF,1978,3144741
South Africa,ZAF,1979,3296962
South Africa,ZAF,1980,3414410
South Africa,ZAF,1981,2869502
South Africa,ZAF,1982,2469048
South Africa,ZAF,1983,2493724
South Africa,ZAF,1984,3407151
South Africa,ZAF,1985,3698679
South Africa,ZAF,1986,3907473
South Africa,ZAF,1987,3862000
South Africa,ZAF,1988,4244632
South Africa,ZAF,1989,4950854
South Africa,ZAF,1990,4618000
South Africa,ZAF,1991,5100299
South Africa,ZAF,1992,3363481
South Africa,ZAF,1993,2838044
South Africa,ZAF,1994,3599472
South Africa,ZAF,1995,5086053
South Africa,ZAF,1996,5078000
South Africa,ZAF,1997,6162000
South Africa,ZAF,1998,6479582
South Africa,ZAF,1999,6817050
South Africa,ZAF,2000,6662000
South Africa,ZAF,2001,5502010
South Africa,ZAF,2002,6435746
South Africa,ZAF,2003,7405391
South Africa,ZAF,2004,7676799
South Africa,ZAF,2005,7502762
South Africa,ZAF,2006,7418326
South Africa,ZAF,2007,9646958
South Africa,ZAF,2008,9682640
South Africa,ZAF,2009,6864938
South Africa,ZAF,2010,10871095
South Africa,ZAF,2011,10721360
South Africa,ZAF,2012,11310223
South Africa,ZAF,2013,13644699
South Africa,ZAF,2014,14037722
South Africa,ZAF,2015,15684481
South Africa,ZAF,2016,14705180
South Africa,ZAF,2017,16586863
South Africa,ZAF,2018,17829038
South Africa,ZAF,2019,17664239
South Africa,ZAF,2020,13200000
South Africa,ZAF,2021,18600000
South Africa,ZAF,2022,19100000
South Africa,ZAF,2023,18000000
Sudan,SDN,1970,47100
Sudan,SDN,1971,21000
Sudan,SDN,1972,23000
Sudan,SDN,1973,31548
Sudan,SDN,1974,24543
Sudan,SDN,1975,36578
Sudan,SDN,1976,23749
Sudan,SDN,1977,22300
Sudan,SDN,1978,23680
Sudan,SDN,1979,28176
Sudan,SDN,1980,25609
Sudan,SDN,1981,18615
Sudan,SDN,1982,10018
Sudan,SDN,1983,18557
Sudan,SDN,1984,25000
Sudan,SDN,1985,16000
Sudan,SDN,1986,18000
Sudan,SDN,1987,10000
Sudan,SDN,1988,25000
Sudan,SDN,1989,30000
Sudan,SDN,1990,35000
Sudan,SDN,1991,25000
Sudan,SDN,1992,20000
Sudan,SDN,1993,11500
Sudan,SDN,1994,25000
Sudan,SDN,1995,44988
Sudan,SDN,1996,12000
Sudan,SDN,1997,30500
Sudan,SDN,1998,60000
Sudan,SDN,1999,48000
Sudan,SDN,2000,28500
Sudan,SDN,2001,20500
Sudan,SDN,2002,14000
Sudan,SDN,2003,37000
Sudan,SDN,2004,26000
Sudan,SDN,2005,21654
Sudan,SDN,2006,24200
Sudan,SDN,2007,37656
Sudan,SDN,2008,27094
Sudan,SDN,2009,14087
Sudan,SDN,2010,56823
Sudan,SDN,2011,64130
Sudan,SDN,2012,18300
Sudan,SDN,2013,30870
Sudan,SDN,2014,60000
Sudan,SDN,2015,15143
Sudan,SDN,2016,45000
Sudan,SDN,2017,32000
Sudan,SDN,2018,27000
Sudan,SDN,2019,12728
Sudan,SDN,2020,9000
Sudan,SDN,2021,5575
Sudan,SDN,2022,3000
Turkey,TUR,1970,518900
Turkey,TUR,1971,603200
Turkey,TUR,1972,680200
Turkey,TUR,1973,568500
Turkey,TUR,1974,666000
Turkey,TUR,1975,707875
Turkey,TUR,1976,664701
Turkey,TUR,1977,636523
Turkey,TUR,1978,466711
Turkey,TUR,1979,418978
Turkey,TUR,1980,383141
Turkey,TUR,1981,401112
Turkey,TUR,1982,452445
Turkey,TUR,1983,345610
Turkey,TUR,1984,487405
Turkey,TUR,1985,588576
Turkey,TUR,1986,617652
Turkey,TUR,1987,762071
Turkey,TUR,1988,851425
Turkey,TUR,1989,1415038
Turkey,TUR,1990,1089942
Turkey,TUR,1991,1720455
Turkey,TUR,1992,758700
Turkey,TUR,1993,706250
Turkey,TUR,1994,790000
Turkey,TUR,1995,1932000
Turkey,TUR,1996,1279032
Turkey,TUR,1997,1702633
Turkey,TUR,1998,1404470
Turkey,TUR,1999,1014544
Turkey,TUR,2000,545725
Turkey,TUR,2001,454549
Turkey,TUR,2002,326390
Turkey,TUR,2003,229294
Turkey,TUR,2004,506421
Turkey,TUR,2005,858729
Turkey,TUR,2006,1059901
Turkey,TUR,2007,1678932
Turkey,TUR,2008,1885712
Turkey,TUR,2009,1770029
Turkey,TUR,2010,2461314
Turkey,TUR,2011,2281981
Turkey,TUR,2012,3295398
Turkey,TUR,2013,4140655
Turkey,TUR,2014,6611394
Turkey,TUR,2015,2515188
Turkey,TUR,2016,2024821
Turkey,TUR,2017,2554222
Turkey,TUR,2018,2896651
Turkey,TUR,2019,3369223
Turkey,TUR,2020,8000000
Turkey,TUR,2021,6960000
Turkey,TUR,2022,5410000
Turkey,TUR,2023,6000000
