Entity,Code,Year,production|Tin|Mine|tonnes
World,OWID_WRL,1931,149000
World,OWID_WRL,1932,96500
World,OWID_WRL,1933,90400
World,OWID_WRL,1934,122000
World,OWID_WRL,1935,137000
World,OWID_WRL,1936,182000
World,OWID_WRL,1937,213000
World,OWID_WRL,1938,166000
World,OWID_WRL,1939,180000
World,OWID_WRL,1940,240000
World,OWID_WRL,1941,244000
World,OWID_WRL,1942,124000
World,OWID_WRL,1943,146000
World,OWID_WRL,1944,102000
World,OWID_WRL,1945,88400
World,OWID_WRL,1946,89400
World,OWID_WRL,1947,115000
World,OWID_WRL,1948,156000
World,OWID_WRL,1949,164000
World,OWID_WRL,1950,172000
World,OWID_WRL,1951,172000
World,OWID_WRL,1952,177000
World,OWID_WRL,1953,193000
World,OWID_WRL,1954,192000
World,OWID_WRL,1955,200000
World,OWID_WRL,1956,203000
World,OWID_WRL,1957,204000
World,OWID_WRL,1958,156000
World,OWID_WRL,1959,164000
World,OWID_WRL,1960,183000
World,OWID_WRL,1961,187000
World,OWID_WRL,1962,190000
World,OWID_WRL,1963,194000
World,OWID_WRL,1964,197000
World,OWID_WRL,1965,204000
World,OWID_WRL,1966,211000
World,OWID_WRL,1967,218000
World,OWID_WRL,1968,232000
World,OWID_WRL,1969,229000
World,OWID_WRL,1970,232000
World,OWID_WRL,1971,235000
World,OWID_WRL,1972,244000
World,OWID_WRL,1973,238000
World,OWID_WRL,1974,233000
World,OWID_WRL,1975,222000
World,OWID_WRL,1976,218000
World,OWID_WRL,1977,231000
World,OWID_WRL,1978,241000
World,OWID_WRL,1979,245000
World,OWID_WRL,1980,245000
World,OWID_WRL,1981,238000
World,OWID_WRL,1982,219000
World,OWID_WRL,1983,197000
World,OWID_WRL,1984,188000
World,OWID_WRL,1985,181000
World,OWID_WRL,1986,173000
World,OWID_WRL,1987,180000
World,OWID_WRL,1988,205000
World,OWID_WRL,1989,233000
World,OWID_WRL,1990,221000
World,OWID_WRL,1991,201000
World,OWID_WRL,1992,191000
World,OWID_WRL,1993,190000
World,OWID_WRL,1994,178000
World,OWID_WRL,1995,201000
World,OWID_WRL,1996,220000
World,OWID_WRL,1997,241000
World,OWID_WRL,1998,231000
World,OWID_WRL,1999,245000
World,OWID_WRL,2000,278000
World,OWID_WRL,2001,246000
World,OWID_WRL,2002,233000
World,OWID_WRL,2003,258000
World,OWID_WRL,2004,298000
World,OWID_WRL,2005,296000
World,OWID_WRL,2006,293000
World,OWID_WRL,2007,301000
World,OWID_WRL,2008,258000
World,OWID_WRL,2009,237000
World,OWID_WRL,2010,266000
World,OWID_WRL,2011,268000
World,OWID_WRL,2012,254000
World,OWID_WRL,2013,322000
World,OWID_WRL,2014,322000
World,OWID_WRL,2015,307000
World,OWID_WRL,2016,309000
World,OWID_WRL,2017,341000
World,OWID_WRL,2018,327000
World,OWID_WRL,2019,294000
World,OWID_WRL,2020,264000
World,OWID_WRL,2021,305000
World,OWID_WRL,2022,307000
World,OWID_WRL,2023,290000
