Entity,Code,Year,production|Fluorspar|Mine|tonnes
East Germany,OWID_GDR,1977,100000
East Germany,OWID_GDR,1978,100000
East Germany,OWID_GDR,1979,100000
East Germany,OWID_GDR,1980,100000
East Germany,OWID_GDR,1981,100000
East Germany,OWID_GDR,1982,100000
East Germany,OWID_GDR,1983,100000
East Germany,OWID_GDR,1984,100000
East Germany,OWID_GDR,1985,100000
East Germany,OWID_GDR,1986,100000
East Germany,OWID_GDR,1987,115600
East Germany,OWID_GDR,1988,111400
East Germany,OWID_GDR,1989,99200
East Germany,OWID_GDR,1990,80000
Egypt,EGY,1970,267
Egypt,EGY,1971,644
Egypt,EGY,1974,1121
Egypt,EGY,1976,1003
Egypt,EGY,1977,1406
Egypt,EGY,1978,631
Egypt,EGY,1979,682
Egypt,EGY,1980,1752
Egypt,EGY,1981,535
Egypt,EGY,1982,750
Egypt,EGY,1983,342
Egypt,EGY,1984,118
Egypt,EGY,1985,60
Egypt,EGY,1986,80
Egypt,EGY,1987,502
Egypt,EGY,1988,1849
Egypt,EGY,1989,1611
Egypt,EGY,1990,1249
Egypt,EGY,1991,1526
Egypt,EGY,1992,981
Egypt,EGY,1993,773
Egypt,EGY,1994,514
Egypt,EGY,1995,551
Egypt,EGY,1996,700
Egypt,EGY,1997,775
Egypt,EGY,1998,140
Egypt,EGY,1999,500
Egypt,EGY,2000,500
Egypt,EGY,2001,304
Egypt,EGY,2002,502
Egypt,EGY,2003,500
Egypt,EGY,2004,891
Egypt,EGY,2005,549
Egypt,EGY,2006,550
Egypt,EGY,2007,11588
Egypt,EGY,2008,9115
Egypt,EGY,2009,4343
Egypt,EGY,2010,5953
Egypt,EGY,2011,3808
Egypt,EGY,2012,2000
Egypt,EGY,2013,850
Egypt,EGY,2014,0
Egypt,EGY,2015,25902
Egypt,EGY,2016,1000
Egypt,EGY,2017,1000
Egypt,EGY,2018,1000
Egypt,EGY,2019,1000
Egypt,EGY,2020,1000
Egypt,EGY,2021,1000
Egypt,EGY,2022,1000
France,FRA,1970,475000
France,FRA,1971,600000
France,FRA,1974,690000
France,FRA,1976,675000
France,FRA,1977,285000
France,FRA,1978,273862
France,FRA,1979,259203
France,FRA,1980,258500
France,FRA,1981,256500
France,FRA,1982,239650
France,FRA,1983,193650
France,FRA,1984,232050
France,FRA,1985,273100
France,FRA,1986,238500
France,FRA,1987,184300
France,FRA,1988,185400
France,FRA,1989,208200
France,FRA,1990,257896
France,FRA,1991,187500
France,FRA,1992,148900
France,FRA,1993,123900
France,FRA,1994,130300
France,FRA,1995,130000
France,FRA,1996,110800
France,FRA,1997,106600
France,FRA,1998,105600
France,FRA,1999,105800
France,FRA,2000,114400
France,FRA,2001,123000
France,FRA,2002,122000
France,FRA,2003,90000
France,FRA,2004,70000
France,FRA,2005,53000
France,FRA,2006,40000
Germany,DEU,1991,60900
Germany,DEU,1992,53051
Germany,DEU,1993,39997
Germany,DEU,1994,35641
Germany,DEU,1995,39081
Germany,DEU,1996,32448
Germany,DEU,1997,23868
Germany,DEU,1998,30641
Germany,DEU,1999,28260
Germany,DEU,2000,31124
Germany,DEU,2001,30381
Germany,DEU,2002,34429
Germany,DEU,2003,33289
Germany,DEU,2004,33203
Germany,DEU,2005,35364
Germany,DEU,2006,53009
Germany,DEU,2007,54359
Germany,DEU,2008,48519
Germany,DEU,2009,49962
Germany,DEU,2010,59086
Germany,DEU,2011,65619
Germany,DEU,2012,54202
Germany,DEU,2013,48744
Germany,DEU,2014,58100
Germany,DEU,2015,49801
Germany,DEU,2016,52552
Germany,DEU,2017,45375
Germany,DEU,2018,49197
Germany,DEU,2019,79959
Germany,DEU,2020,80000
Germany,DEU,2021,65000
Germany,DEU,2022,60000
Germany,DEU,2023,60000
Greece,GRC,1976,1000
Greece,GRC,1977,500
Greece,GRC,1978,610
Greece,GRC,1979,360
Greece,GRC,1980,440
Greece,GRC,1981,370
Greece,GRC,1982,345
Greece,GRC,1983,275
Greece,GRC,1984,83
Greece,GRC,1985,35
Greece,GRC,1986,150
Greece,GRC,1987,112
Greece,GRC,1988,604
Greece,GRC,1989,450
India,IND,1970,4647
India,IND,1971,2976
India,IND,1974,14458
India,IND,1976,17632
India,IND,1977,18791
India,IND,1978,17546
India,IND,1979,21495
India,IND,1980,21337
India,IND,1981,22994
India,IND,1982,24902
India,IND,1983,22616
India,IND,1984,21928
India,IND,1985,20270
India,IND,1986,18574
India,IND,1987,18457
India,IND,1988,20392
India,IND,1989,28065
India,IND,1990,23441
India,IND,1991,24139
India,IND,1992,19598
India,IND,1993,22773
India,IND,1994,24788
India,IND,1995,22944
India,IND,1996,19926
India,IND,1997,11338
India,IND,1998,48
India,IND,1999,48072
India,IND,2000,7035
India,IND,2001,20766
India,IND,2002,13023
India,IND,2003,12393
India,IND,2004,14008
India,IND,2005,5577
India,IND,2006,2053
India,IND,2007,7764
India,IND,2008,9990
India,IND,2009,13781
India,IND,2010,7544
India,IND,2011,5010
India,IND,2012,3092
India,IND,2013,2487
India,IND,2014,2946
India,IND,2015,2333
India,IND,2016,1175
India,IND,2017,1314
India,IND,2018,1079
India,IND,2019,1315
India,IND,2020,1052
India,IND,2021,1237
India,IND,2022,988
Iran,IRN,1985,3300
Iran,IRN,1986,6000
Iran,IRN,1987,7352
Iran,IRN,1988,6483
Iran,IRN,1989,6000
Iran,IRN,1990,4767
Iran,IRN,1991,12260
Iran,IRN,1992,9182
Iran,IRN,1993,10000
Iran,IRN,1994,22204
Iran,IRN,1995,20163
Iran,IRN,1996,18929
Iran,IRN,1997,17035
Iran,IRN,1998,26275
Iran,IRN,1999,18387
Iran,IRN,2000,34672
Iran,IRN,2001,34688
Iran,IRN,2002,55187
Iran,IRN,2003,41094
Iran,IRN,2004,41220
Iran,IRN,2005,64601
Iran,IRN,2006,58871
Iran,IRN,2007,68192
Iran,IRN,2008,61592
Iran,IRN,2009,71409
Iran,IRN,2010,70000
Iran,IRN,2011,55976
Iran,IRN,2012,60000
Iran,IRN,2013,56298
Iran,IRN,2014,54370
Iran,IRN,2015,57232
Iran,IRN,2016,122427
Iran,IRN,2017,36511
Iran,IRN,2018,89102
Iran,IRN,2019,49705
Iran,IRN,2020,56000
Iran,IRN,2021,50000
Iran,IRN,2022,116000
Iran,IRN,2023,120000
Italy,ITA,1970,289266
Italy,ITA,1971,288243
Italy,ITA,1974,249831
Italy,ITA,1976,210812
Italy,ITA,1977,185749
Italy,ITA,1978,171216
Italy,ITA,1979,182791
Italy,ITA,1980,151965
Italy,ITA,1981,164235
Italy,ITA,1982,166340
Italy,ITA,1983,177670
Italy,ITA,1984,188263
Italy,ITA,1985,152212
Italy,ITA,1986,145537
Italy,ITA,1987,135550
Italy,ITA,1988,140885
Italy,ITA,1989,118692
Italy,ITA,1990,125467
Italy,ITA,1991,104828
Italy,ITA,1992,86279
Italy,ITA,1993,71684
Italy,ITA,1994,77946
Italy,ITA,1995,124749
Italy,ITA,1996,126671
Italy,ITA,1997,105794
Italy,ITA,1998,104187
Italy,ITA,1999,46916
Italy,ITA,2000,67768
Italy,ITA,2001,70160
Italy,ITA,2002,53260
Italy,ITA,2003,26387
Italy,ITA,2004,24339
Italy,ITA,2005,70326
Italy,ITA,2006,15000
Japan,JPN,1970,8031
Japan,JPN,1971,12720
Kazakhstan,KAZ,1992,100000
Kazakhstan,KAZ,2004,4000
Kazakhstan,KAZ,2005,4750
Kazakhstan,KAZ,2006,30000
Kazakhstan,KAZ,2007,64000
Kazakhstan,KAZ,2008,66300
Kazakhstan,KAZ,2009,66000
Kazakhstan,KAZ,2010,66000
Kazakhstan,KAZ,2011,66000
Kazakhstan,KAZ,2012,66000
Kazakhstan,KAZ,2013,110000
Kazakhstan,KAZ,2014,100000
Kazakhstan,KAZ,2015,100000
Kazakhstan,KAZ,2016,100000
Kazakhstan,KAZ,2017,100000
Kazakhstan,KAZ,2018,100000
Kazakhstan,KAZ,2019,87800
Kazakhstan,KAZ,2020,77000
Kazakhstan,KAZ,2021,67000
Kazakhstan,KAZ,2022,67000
Kenya,KEN,1970,3904
Kenya,KEN,1971,6561
Kenya,KEN,1974,38500
Kenya,KEN,1976,75027
Kenya,KEN,1977,124000
Kenya,KEN,1978,106564
Kenya,KEN,1979,77104
Kenya,KEN,1980,93378
Kenya,KEN,1981,90099
Kenya,KEN,1982,88726
Kenya,KEN,1983,59084
Kenya,KEN,1984,46578
Kenya,KEN,1985,57949
Kenya,KEN,1986,50851
Kenya,KEN,1987,60190
Kenya,KEN,1988,67351
Kenya,KEN,1989,111300
Kenya,KEN,1990,78510
Kenya,KEN,1991,88158
Kenya,KEN,1992,80360
Kenya,KEN,1993,78725
Kenya,KEN,1994,89155
Kenya,KEN,1995,74230
Kenya,KEN,1996,83000
Kenya,KEN,1997,68700
Kenya,KEN,1998,60854
Kenya,KEN,1999,93602
Kenya,KEN,2000,100102
Kenya,KEN,2001,118850
Kenya,KEN,2002,85015
Kenya,KEN,2003,80201
Kenya,KEN,2004,117986
Kenya,KEN,2005,109594
Kenya,KEN,2006,83428
Kenya,KEN,2007,82000
Kenya,KEN,2008,98248
Kenya,KEN,2009,15667
Kenya,KEN,2010,40800
Kenya,KEN,2011,95100
Kenya,KEN,2012,91000
Kenya,KEN,2013,71987
Kenya,KEN,2014,97156
Kenya,KEN,2015,70096
Kenya,KEN,2016,42656
Kenya,KEN,2017,6945
Kyrgyzstan,KGZ,1992,5000
Kyrgyzstan,KGZ,1993,5000
Kyrgyzstan,KGZ,1994,5000
Kyrgyzstan,KGZ,1995,3000
Kyrgyzstan,KGZ,1996,2767
Kyrgyzstan,KGZ,1997,4176
Kyrgyzstan,KGZ,1998,3200
Kyrgyzstan,KGZ,1999,2997
Kyrgyzstan,KGZ,2000,3000
Kyrgyzstan,KGZ,2001,1175
Kyrgyzstan,KGZ,2002,2656
Kyrgyzstan,KGZ,2003,3973
Kyrgyzstan,KGZ,2004,4000
Kyrgyzstan,KGZ,2005,4000
Kyrgyzstan,KGZ,2006,4000
Kyrgyzstan,KGZ,2007,4000
Kyrgyzstan,KGZ,2008,4000
Kyrgyzstan,KGZ,2009,4000
Kyrgyzstan,KGZ,2010,4000
Kyrgyzstan,KGZ,2011,4000
Kyrgyzstan,KGZ,2012,4000
Kyrgyzstan,KGZ,2013,4000
Kyrgyzstan,KGZ,2014,4000
Kyrgyzstan,KGZ,2015,4000
Kyrgyzstan,KGZ,2016,4000
Kyrgyzstan,KGZ,2017,4000
Kyrgyzstan,KGZ,2018,4000
Kyrgyzstan,KGZ,2019,4000
Kyrgyzstan,KGZ,2020,4000
Kyrgyzstan,KGZ,2021,4000
Kyrgyzstan,KGZ,2022,4000
Mexico,MEX,1970,978485
Mexico,MEX,1971,1180955
Mexico,MEX,1974,1112247
Mexico,MEX,1976,896535
Mexico,MEX,1977,660087
Mexico,MEX,1978,959784
Mexico,MEX,1979,875216
Mexico,MEX,1980,1106544
Mexico,MEX,1981,1116342
Mexico,MEX,1982,735093
Mexico,MEX,1983,604781
Mexico,MEX,1984,699429
Mexico,MEX,1985,730447
Mexico,MEX,1986,766822
Mexico,MEX,1987,723594
Mexico,MEX,1988,756096
Mexico,MEX,1989,779357
Mexico,MEX,1990,633814
Mexico,MEX,1991,370297
Mexico,MEX,1992,286640
Mexico,MEX,1993,282988
Mexico,MEX,1994,327378
Mexico,MEX,1995,522658
Mexico,MEX,1996,523971
Mexico,MEX,1997,552840
Mexico,MEX,1998,598043
Mexico,MEX,1999,557106
Mexico,MEX,2000,635230
Mexico,MEX,2001,619468
Mexico,MEX,2002,622477
Mexico,MEX,2003,756258
Mexico,MEX,2004,842698
Mexico,MEX,2005,875450
Mexico,MEX,2006,936433
Mexico,MEX,2007,933361
Mexico,MEX,2008,1057649
Mexico,MEX,2009,1045940
Mexico,MEX,2010,1067386
Mexico,MEX,2011,1206907
Mexico,MEX,2012,1237091
Mexico,MEX,2013,1210477
Mexico,MEX,2014,1109721
Mexico,MEX,2015,624574
Mexico,MEX,2016,655555
Mexico,MEX,2017,741678
Mexico,MEX,2018,1182058
Mexico,MEX,2019,1231465
Mexico,MEX,2020,915000
Mexico,MEX,2021,1000000
Mexico,MEX,2022,1000000
Mexico,MEX,2023,1000000
Mongolia,MNG,1970,80000
Mongolia,MNG,1971,80000
Mongolia,MNG,1974,250000
Mongolia,MNG,1976,302000
Mongolia,MNG,1977,335000
Mongolia,MNG,1978,455000
Mongolia,MNG,1979,570000
Mongolia,MNG,1980,600000
Mongolia,MNG,1981,600000
Mongolia,MNG,1982,670000
Mongolia,MNG,1983,708000
Mongolia,MNG,1984,747000
Mongolia,MNG,1985,787000
Mongolia,MNG,1986,780000
Mongolia,MNG,1987,843000
Mongolia,MNG,1988,919000
Mongolia,MNG,1989,999000
Mongolia,MNG,1990,884000
Mongolia,MNG,1991,370000
Mongolia,MNG,1992,277000
Mongolia,MNG,1993,77200
Mongolia,MNG,1994,105000
Mongolia,MNG,1995,133300
Mongolia,MNG,1996,165000
Mongolia,MNG,1997,174200
Mongolia,MNG,1998,168218
Mongolia,MNG,1999,153693
Mongolia,MNG,2000,198541
Mongolia,MNG,2001,199105
Mongolia,MNG,2002,185100
Mongolia,MNG,2003,198400
Mongolia,MNG,2004,354900
Mongolia,MNG,2005,327100
Mongolia,MNG,2006,347700
Mongolia,MNG,2007,354900
Mongolia,MNG,2008,334800
Mongolia,MNG,2009,459500
Mongolia,MNG,2010,367000
Mongolia,MNG,2011,404000
Mongolia,MNG,2012,428900
Mongolia,MNG,2013,161700
Mongolia,MNG,2014,303000
Mongolia,MNG,2015,183500
Mongolia,MNG,2016,167700
Mongolia,MNG,2017,108900
Mongolia,MNG,2018,101200
Mongolia,MNG,2019,156100
Mongolia,MNG,2020,685000
Mongolia,MNG,2021,650000
Mongolia,MNG,2022,425000
Mongolia,MNG,2023,930000
Morocco,MAR,1974,19050
Morocco,MAR,1976,51450
Morocco,MAR,1977,40000
Morocco,MAR,1978,59200
Morocco,MAR,1979,63200
Morocco,MAR,1980,64400
Morocco,MAR,1981,66700
Morocco,MAR,1982,50200
Morocco,MAR,1983,60300
Morocco,MAR,1984,65900
Morocco,MAR,1985,74350
Morocco,MAR,1986,83000
Morocco,MAR,1987,78500
Morocco,MAR,1988,100500
Morocco,MAR,1989,105000
Morocco,MAR,1990,86500
Morocco,MAR,1991,74600
Morocco,MAR,1992,85500
Morocco,MAR,1993,70000
Morocco,MAR,1994,85000
Morocco,MAR,1995,105800
Morocco,MAR,1996,95900
Morocco,MAR,1997,103800
Morocco,MAR,1998,105000
Morocco,MAR,1999,83100
Morocco,MAR,2000,76991
Morocco,MAR,2001,96500
Morocco,MAR,2002,94910
Morocco,MAR,2003,81225
Morocco,MAR,2004,107200
Morocco,MAR,2005,114700
Morocco,MAR,2006,103300
Morocco,MAR,2007,78817
Morocco,MAR,2008,56724
Morocco,MAR,2009,72096
Morocco,MAR,2010,89680
Morocco,MAR,2011,79207
Morocco,MAR,2012,79300
Morocco,MAR,2013,81200
Morocco,MAR,2014,79840
Morocco,MAR,2015,80890
Morocco,MAR,2016,73920
Morocco,MAR,2017,75509
Morocco,MAR,2018,87874
Morocco,MAR,2019,73240
Morocco,MAR,2020,82000
Morocco,MAR,2021,77000
Morocco,MAR,2022,77000
Mozambique,MOZ,1971,8218
Myanmar,MMR,1970,165
Myanmar,MMR,1971,200
Namibia,NAM,1987,0
Namibia,NAM,1988,3989
Namibia,NAM,1989,25679
Namibia,NAM,1990,27107
Namibia,NAM,1991,27816
Namibia,NAM,1992,37680
Namibia,NAM,1993,43466
Namibia,NAM,1994,52226
Namibia,NAM,1995,33559
Namibia,NAM,1996,31457
Namibia,NAM,1997,23160
Namibia,NAM,1998,40685
Namibia,NAM,1999,57599
Namibia,NAM,2000,66129
Namibia,NAM,2001,81245
Namibia,NAM,2002,81084
Namibia,NAM,2003,79281
Namibia,NAM,2004,104785
Namibia,NAM,2005,114886
Namibia,NAM,2006,132249
Namibia,NAM,2007,118766
Namibia,NAM,2008,118263
Namibia,NAM,2009,80857
Namibia,NAM,2010,104494
Namibia,NAM,2011,94032
Namibia,NAM,2012,74157
Namibia,NAM,2013,65259
Namibia,NAM,2014,28955
Namibia,NAM,2015,0
Namibia,NAM,2016,1495
Namibia,NAM,2017,0
North Korea,PRK,1970,3000
North Korea,PRK,1971,3000
North Korea,PRK,1974,30000
North Korea,PRK,1976,30000
North Korea,PRK,1977,40000
North Korea,PRK,1978,40000
North Korea,PRK,1979,40000
North Korea,PRK,1980,40000
North Korea,PRK,1981,40000
North Korea,PRK,1982,40000
North Korea,PRK,1983,40000
North Korea,PRK,1984,40000
North Korea,PRK,1985,40000
North Korea,PRK,1986,40000
North Korea,PRK,1987,40000
North Korea,PRK,1988,40000
North Korea,PRK,1989,40000
North Korea,PRK,1990,40000
North Korea,PRK,1991,41000
North Korea,PRK,1992,41000
North Korea,PRK,1993,41000
North Korea,PRK,1994,40000
North Korea,PRK,1995,40000
North Korea,PRK,1996,39000
North Korea,PRK,1997,39000
North Korea,PRK,1998,30000
North Korea,PRK,1999,25000
North Korea,PRK,2000,25000
North Korea,PRK,2001,12000
North Korea,PRK,2002,12000
North Korea,PRK,2003,12000
North Korea,PRK,2004,12000
North Korea,PRK,2005,12500
North Korea,PRK,2006,12500
North Korea,PRK,2007,12500
North Korea,PRK,2008,12500
North Korea,PRK,2009,12500
North Korea,PRK,2010,12500
North Korea,PRK,2014,5000
North Korea,PRK,2015,3000
North Korea,PRK,2016,5000
North Korea,PRK,2017,7000
North Korea,PRK,2018,7000
North Korea,PRK,2019,7000
North Korea,PRK,2020,6000
North Korea,PRK,2021,7000
North Korea,PRK,2022,7000
Pakistan,PAK,1970,528
Pakistan,PAK,1971,4770
Pakistan,PAK,1974,68
Pakistan,PAK,1976,10
Pakistan,PAK,1977,0
Pakistan,PAK,1978,335
Pakistan,PAK,1979,418
Pakistan,PAK,1980,1184
Pakistan,PAK,1981,5
Pakistan,PAK,1982,814
Pakistan,PAK,1983,335
Pakistan,PAK,1984,703
Pakistan,PAK,1985,3175
Pakistan,PAK,1986,4353
Pakistan,PAK,1987,3673
Pakistan,PAK,1988,375
Pakistan,PAK,1989,4741
Pakistan,PAK,1990,5312
Pakistan,PAK,1991,5300
Pakistan,PAK,1992,5000
Pakistan,PAK,1993,5100
Pakistan,PAK,1994,13351
Pakistan,PAK,1995,2573
Pakistan,PAK,1996,363
Pakistan,PAK,1997,1050
Pakistan,PAK,1998,2647
Pakistan,PAK,1999,220
Pakistan,PAK,2000,997
Pakistan,PAK,2001,1091
Pakistan,PAK,2002,1288
Pakistan,PAK,2003,1000
Pakistan,PAK,2004,1026
Pakistan,PAK,2005,2017
Pakistan,PAK,2006,1966
Pakistan,PAK,2007,1505
Pakistan,PAK,2008,2612
Pakistan,PAK,2009,493
Pakistan,PAK,2010,222
Pakistan,PAK,2011,3156
Pakistan,PAK,2012,6866
Pakistan,PAK,2013,13344
Pakistan,PAK,2014,7500
Pakistan,PAK,2015,5962
Pakistan,PAK,2016,9494
Pakistan,PAK,2017,2263
Pakistan,PAK,2018,2777
Pakistan,PAK,2019,4186
Pakistan,PAK,2020,55000
Pakistan,PAK,2021,65000
Pakistan,PAK,2022,52000
Pakistan,PAK,2023,52000
Romania,ROU,1970,15000
Romania,ROU,1971,15000
Romania,ROU,1974,15000
Romania,ROU,1976,15000
Romania,ROU,1977,20000
Romania,ROU,1978,20000
Romania,ROU,1979,20000
Romania,ROU,1980,20000
Romania,ROU,1981,20000
Romania,ROU,1982,20000
Romania,ROU,1983,20000
Romania,ROU,1984,20000
Romania,ROU,1985,20000
Romania,ROU,1986,20000
Romania,ROU,1987,18000
Romania,ROU,1988,18000
Romania,ROU,1989,16000
Romania,ROU,1990,12000
Romania,ROU,1991,12000
Romania,ROU,1992,15000
Romania,ROU,1993,15000
Romania,ROU,1994,15000
Romania,ROU,1995,15000
Romania,ROU,1996,15000
Romania,ROU,1997,15000
Romania,ROU,1998,15000
Romania,ROU,1999,15000
Romania,ROU,2000,15000
Romania,ROU,2001,15000
Romania,ROU,2002,15000
Romania,ROU,2003,15000
Romania,ROU,2004,15000
Russia,RUS,1992,350000
Russia,RUS,1993,260000
Russia,RUS,1994,120000
Russia,RUS,1995,140000
Russia,RUS,1996,75000
Russia,RUS,1997,80000
Russia,RUS,1998,100000
Russia,RUS,1999,153800
Russia,RUS,2000,187600
Russia,RUS,2001,200000
Russia,RUS,2002,169000
Russia,RUS,2003,170000
Russia,RUS,2004,226400
Russia,RUS,2005,245500
Russia,RUS,2006,210000
Russia,RUS,2007,204000
Russia,RUS,2008,153000
Russia,RUS,2009,127300
Russia,RUS,2010,67000
Russia,RUS,2011,120000
Russia,RUS,2012,130000
Russia,RUS,2013,56200
Russia,RUS,2014,8200
Russia,RUS,2015,2000
Russia,RUS,2016,3000
Russia,RUS,2017,2700
