Entity,Code,Year,production|Manganese|Mine|tonnes
World,OWID_WRL,2012,16200000
World,OWID_WRL,2013,17200000
World,OWID_WRL,2014,18300000
World,OWID_WRL,2015,15300000
World,OWID_WRL,2016,14900000
World,OWID_WRL,2017,18700000
World,OWID_WRL,2018,19600000
World,OWID_WRL,2019,20700000
World,OWID_WRL,2020,18900000
World,OWID_WRL,2021,20100000
World,OWID_WRL,2022,19800000
World,OWID_WRL,2023,20000000
